epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.0021,3.79829,3.7806,2.84623,0.00267,0.02367,0.00138,0.00017,3.60156,3.70637,2.77274,6e-05,6e-05,6e-05
2,111.167,3.56289,7.04308,2.3457,0.01133,0.10059,0.00641,0.00162,3.25331,3.54728,2.26651,0.00012614,0.00012614,0.00012614
3,1485.49,3.19921,3.38364,2.20707,0.032,0.28402,0.04899,0.01145,2.86224,3.32801,1.76384,0.00017644,0.00017644,0.00017644
4,2232.89,2.96612,3.01891,1.89524,0.042,0.37278,0.06776,0.01462,2.71561,3.22838,1.7095,0.0002109,0.0002109,0.0002109
5,2271.66,2.78031,2.93621,1.79623,0.05267,0.46746,0.12018,0.02456,2.62103,3.10842,1.61298,0.00022952,0.00022952,0.00022952
6,2307.72,3.10151,2.82326,1.76467,0.054,0.47929,0.13184,0.0274,2.62821,2.98334,1.5514,0.0002323,0.0002323,0.0002323
7,2352.53,2.65168,2.29198,1.67146,0.05533,0.49112,0.15994,0.03661,2.73591,2.86128,1.56253,0.00021924,0.00021924,0.00021924
8,2403.12,2.77277,2.4619,1.71021,0.064,0.56805,0.27247,0.07992,2.7307,2.71725,1.54729,0.00019034,0.00019034,0.00019034
9,2448.29,2.53794,2.18862,1.61023,0.07133,0.63314,0.3903,0.1239,2.33468,2.56925,1.42506,0.0001456,0.0001456,0.0001456
10,2489.98,2.68058,2.11674,1.70503,0.07333,0.65089,0.42661,0.12957,2.22497,2.56487,1.43286,8.502e-05,8.502e-05,8.502e-05
